Scenario,Output,AETR,LACA,HECO,CAPA,HOVI,TRAL,GITR,NAJE,DICA,UNK,AGHE,DEVA,GRCA,LOHO,RACA,ERNU,LIBI,LOWR,TRFU,VIDO,SUM,Mean
Goatgrass,sVisitsP,0,68.03071244,16.07240055,55.78413457,26.30299897,272.0691277,0.759994468,16.03910295,5.966173288,0.000219142,15.19978674,0.440788504,1.112496302,0.587382556,0.161641001,6.47E-05,0.351731375,28.19923112,0.000167773,8.58E-05,507.07824,26.68832842
Goatgrass,sVisitsP,0,74.1438947,18.27224967,58.81402337,25.60613248,315.2505565,0.947102646,18.32886673,6.308717836,0.000118128,14.10335427,0.564730961,1.28944695,0.530639103,0.156440988,0.000116716,0.339823162,29.27696286,0.00020126,0.00014393,563.9335222,29.6807117
Goatgrass,sVisitsP,0,60.93478156,15.44137431,54.61913723,24.49812303,274.9256192,0.859933308,17.85243895,6.960882854,0.000265514,13.25009446,0.46577631,1.135034269,0.544078347,0.168137225,7.77E-05,0.323624369,29.19154123,0.000172534,0.000102159,501.1711946,26.3774313
Goatgrass,sVisitsP,0,67.30084755,16.51348592,52.46354843,27.89381709,306.7862978,0.892162567,17.64519571,6.722278156,0.000125671,14.20108022,0.559786742,1.309816863,0.60011526,0.194105231,8.94E-05,0.384577239,26.11954724,0.000183872,9.68E-05,539.5871578,28.3993241
Goatgrass,sVisitsP,0,70.54939997,18.90491072,61.50808122,26.09031521,315.4339588,0.812001058,15.94291826,6.28648745,0.00015932,13.9299675,0.534594056,1.443262945,0.533895218,0.190111329,7.65E-05,0.368502857,29.21529078,0.000170171,9.98E-05,561.7442031,29.56548437
Goatgrass,sVisitsP,0,70.45275749,18.8850267,55.93171976,27.87055282,273.3025841,0.800648446,16.34662122,7.534278751,0.000228409,16.65862741,0.573610119,1.353605649,0.596546447,0.171482097,6.85E-05,0.354265177,29.00193286,0.000113657,0.00014232,519.834812,27.35972694
Goatgrass,sVisitsP,0,71.16731486,16.26649978,58.83053293,25.0468692,273.5778908,0.949868733,17.9757937,7.011689589,0.000141459,13.69348316,0.472855856,1.281936268,0.589644734,0.16233914,9.91E-05,0.351750481,27.15004299,0.000125931,8.02E-05,514.5289589,27.08047152
Goatgrass,sVisitsP,0,64.74018318,17.17875853,52.61024629,26.92159752,320.5267945,0.874457282,18.15826865,7.524687594,0.000125893,14.83910667,0.520849828,1.190373306,0.550596025,0.168354834,9.77E-05,0.390586001,29.12722782,0.000177513,0.000176572,555.3226656,29.22750872
Goatgrass,sVisitsP,0,72.41511672,19.08560697,59.88941187,28.98823055,272.4787364,0.925560248,19.78347503,6.414814806,0.000201679,14.059953,0.507605796,1.315736306,0.593098541,0.201055474,9.55E-05,0.397528746,30.50406702,0.000133622,7.81E-05,527.5605064,27.76634244
Goatgrass,sVisitsP,0,69.90538588,16.26673439,57.22631565,22.71000244,279.25751,0.897361224,17.37511834,6.563326386,0.000157078,13.76797272,0.468063528,1.326553217,0.557336791,0.157380581,9.38E-05,0.322634274,25.96289012,0.000164351,7.75E-05,512.7650782,26.98763569
Goatgrass,sVisitsP,0,64.74446736,19.04332051,55.21811772,25.81168498,312.3791128,0.910408945,18.02314609,7.417727825,0.000111572,13.86008411,0.498569046,1.270475692,0.573865598,0.173858261,9.29E-05,0.335653859,28.47924916,0.000107313,0.000144915,548.7401987,28.88106309
Goatgrass,sVisitsP,0,66.56572322,16.8160765,50.94319383,25.9755171,321.9848562,0.818987838,15.83534175,6.620555172,0.000318468,15.76987067,0.545711206,1.294172946,0.603702941,0.196733691,5.16E-05,0.354782987,28.20516597,0.000105103,0.000131584,552.5309987,29.08057888
Goatgrass,sVisitsP,0,67.08666708,18.15290605,57.92444779,26.53983781,264.2968408,0.923091368,16.92311384,6.081434931,0.0002515,14.64516499,0.488832382,1.161890782,0.546258061,0.166724301,6.18E-05,0.325623339,27.86011081,9.98E-05,0.000213159,503.1235705,26.48018792
